City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Burla,IN,21.5,83.8667,73.47,31,0,3.18,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,61,0,13.8,clear sky
Dunedin,NZ,-45.8742,170.5036,63.81,91,98,3.83,overcast clouds
Mezen,RU,65.8522,44.24,3.52,97,100,4.45,overcast clouds
Kommunar,RU,59.6206,30.39,22.53,94,92,5.41,overcast clouds
Busselton,AU,-33.65,115.3333,68.04,67,14,12.08,few clouds
Kahului,US,20.8947,-156.47,65.46,88,20,3.44,few clouds
Jiayuguan,CN,39.8167,98.3,40.91,33,85,21.72,overcast clouds
Inirida,CO,3.8653,-67.9239,82.4,71,100,3.85,overcast clouds
Kodiak,US,57.79,-152.4072,36.91,87,100,8.05,overcast clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.48,92,100,2.64,overcast clouds
Tutoia,BR,-2.7619,-42.2744,87.78,73,90,9.95,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-27.89,100,85,3.02,overcast clouds
Port Alfred,ZA,-33.5906,26.891,73.0,80,10,16.82,clear sky
Namibe,AO,-15.1961,12.1522,74.82,64,100,12.86,overcast clouds
Sur,OM,22.5667,59.5289,75.36,62,8,9.84,clear sky
Jamestown,US,42.097,-79.2353,50.52,30,40,12.66,scattered clouds
Charlestown,AU,-32.95,151.6667,72.86,93,22,5.01,light rain
Rikitea,PF,-23.1203,-134.9692,79.11,77,16,22.93,light rain
Butaritari,KI,3.0707,172.7902,81.36,79,66,17.22,light rain
Kyren,RU,51.6828,102.1408,17.22,80,99,2.77,overcast clouds
Tomatlan,MX,19.9333,-105.25,88.43,26,0,8.01,clear sky
Ponta Do Sol,PT,32.6667,-17.1,67.71,68,12,6.58,few clouds
Mataura,NZ,-46.1927,168.8643,63.48,76,100,3.33,overcast clouds
Thompson,CA,55.7435,-97.8558,8.76,66,75,3.44,broken clouds
Shasta Lake,US,40.6804,-122.3708,49.8,54,100,3.15,overcast clouds
