City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Burla,IN,73.47,clear sky,21.5,83.8667,VSSUT Guest House
1,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
2,Dunedin,NZ,63.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
5,Busselton,AU,68.04,few clouds,-33.65,115.3333,Observatory Guest House
6,Kahului,US,65.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
7,Jiayuguan,CN,40.91,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
8,Inirida,CO,82.4,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
10,Conceicao Do Araguaia,BR,76.48,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
11,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
13,Port Alfred,ZA,73.0,clear sky,-33.5906,26.891,The Halyards Hotel
14,Namibe,AO,74.82,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
15,Sur,OM,75.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
16,Jamestown,US,50.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Charlestown,AU,72.86,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
18,Rikitea,PF,79.11,light rain,-23.1203,-134.9692,People ThankYou
19,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Tomatlan,MX,88.43,clear sky,19.9333,-105.25,El Salvial
22,Ponta Do Sol,PT,67.71,few clouds,32.6667,-17.1,Hotel do Campo
23,Mataura,NZ,63.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
25,Shasta Lake,US,49.8,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
27,Bol,TD,80.85,broken clouds,13.4586,14.7147,Hotel 3 Etoiles
28,Lagoa,PT,61.56,overcast clouds,39.05,-27.9833,Casa Das Faias
30,Chuy,UY,86.49,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
31,Cape Town,ZA,75.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
32,Kapaa,US,62.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
34,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Ruiz,MX,89.2,clear sky,21.95,-105.15,Hotel Casa Monte Ruesga
36,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
37,Phalodi,IN,74.73,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
40,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
41,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,Albatross Hotel
43,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
45,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,Pundaguitan,PH,79.27,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
48,Pontal Do Parana,BR,93.97,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
49,Tual,ID,82.54,broken clouds,-5.6667,132.75,Grand Vilia Hotel
50,Fiumicino,IT,50.65,clear sky,41.7675,12.2291,Al Porticciolo Hotel
51,Bethel,US,44.24,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
52,Harper,LR,82.6,broken clouds,4.375,-7.7169,Screensaver
53,Port Elizabeth,ZA,72.09,clear sky,-33.918,25.5701,39 On Nile Guest House
54,Davila,PH,77.23,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
55,Faanui,PF,81.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Esmeralda,CU,83.44,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
57,Punta Arenas,CL,50.02,scattered clouds,-53.15,-70.9167,Hotel Hain
58,Lebu,CL,61.83,clear sky,-37.6167,-73.65,Hostal Las Lilas
59,Taoudenni,ML,79.56,clear sky,22.6783,-3.9836,
60,Codrington,AU,59.47,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
61,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
62,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
64,Peniche,PT,56.88,light rain,39.3558,-9.3811,Hotel Star inn Peniche
65,Airai,TL,60.12,overcast clouds,-8.9266,125.4092,
66,Korla,CN,44.85,scattered clouds,41.7597,86.1469,Gulisitan Hotel
67,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
72,Hithadhoo,MV,82.69,scattered clouds,-0.6,73.0833,Scoop Guest House
73,Hasaki,JP,46.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
74,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
75,Pangoa,PE,73.94,overcast clouds,-12.1167,-73.0,
76,Hermanus,ZA,74.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Akyab,MM,78.17,overcast clouds,20.15,92.9,Hotel Memory
78,Pitimbu,BR,82.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
79,Pleasanton,US,51.22,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
80,Esperance,AU,64.24,clear sky,-33.8667,121.9,Hospitality Esperance
81,New Norfolk,AU,56.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
82,Half Moon Bay,US,52.21,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
83,Nicoya,CR,85.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
84,Balkanabat,TM,50.95,scattered clouds,39.5108,54.3671,Nebitchi Hotel
85,Patos,BR,87.31,overcast clouds,-7.0244,-37.28,Hotel JK
86,Arlit,NE,86.88,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
87,Golden,US,41.47,light intensity drizzle,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
89,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
91,Lompoc,US,54.41,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
92,North Bend,US,46.31,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
93,Aljezur,PT,54.37,broken clouds,37.3191,-8.8033,Amazigh Hostel
94,Castro,BR,80.51,few clouds,-24.7911,-50.0119,CHACARA BAILLY
95,Dingle,PH,75.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Tezu,IN,64.36,few clouds,27.9167,96.1667,Circuit House
97,Hasilpur,PK,70.05,overcast clouds,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
