City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2022-02-23 17:41:35,-33.5906,26.891,75.06,93,16,15.01
1,Lebu,CL,2022-02-23 17:41:36,-37.6167,-73.65,62.31,85,70,14.72
2,Pedernales,DO,2022-02-23 17:41:36,18.0384,-71.744,81.03,63,5,8.41
3,Olga,RU,2022-02-23 17:41:37,43.7444,135.2892,15.48,62,51,11.97
4,Port Hawkesbury,CA,2022-02-23 17:41:37,45.6169,-61.3485,50.92,95,100,3.0
5,Leningradskiy,RU,2022-02-23 17:41:38,69.3833,178.4167,-30.26,96,62,2.1
6,Cape Town,ZA,2022-02-23 17:38:08,-33.9258,18.4232,72.01,69,0,19.57
7,Hobart,AU,2022-02-23 17:41:38,-42.8794,147.3294,66.06,78,82,6.91
8,Provideniya,RU,2022-02-23 17:41:39,64.3833,-173.3,7.25,91,100,21.5
9,Constitucion,CL,2022-02-23 17:41:39,-35.3333,-72.4167,64.67,77,63,17.87
10,Qaanaaq,GL,2022-02-23 17:41:40,77.484,-69.3632,-19.43,57,11,5.84
11,Hami,CN,2022-02-23 17:41:40,42.8,93.45,31.53,36,5,1.23
12,Kodinsk,RU,2022-02-23 17:41:40,58.6881,99.1844,23.9,98,100,2.19
13,Thompson,CA,2022-02-23 17:41:41,55.7435,-97.8558,-16.44,69,20,6.91
14,Longyearbyen,SJ,2022-02-23 17:41:34,78.2186,15.6401,-7.76,64,75,10.36
15,Jamestown,US,2022-02-23 17:36:49,42.097,-79.2353,29.3,61,100,14.97
16,Maryville,US,2022-02-23 17:40:22,35.7565,-83.9705,70.16,85,75,3.44
17,Rikitea,PF,2022-02-23 17:41:42,-23.1203,-134.9692,79.41,73,96,14.0
18,Hilo,US,2022-02-23 17:41:42,19.7297,-155.09,70.79,81,75,4.61
19,Mar Del Plata,AR,2022-02-23 17:41:43,-38.0023,-57.5575,71.62,86,40,11.99
20,Seoul,KR,2022-02-23 17:36:48,37.5683,126.9778,20.8,50,0,4.61
21,Ati,TD,2022-02-23 17:41:43,13.2154,18.3353,77.54,5,44,8.77
22,Nador,MA,2022-02-23 17:41:44,35.174,-2.9287,62.67,77,40,4.61
23,Cherskiy,RU,2022-02-23 17:41:44,68.75,161.3,-41.21,96,59,2.19
